iter	Passed	Remaining
0	137	137323
1	138	69140
2	139	46393
3	140	34957
4	141	28132
5	142	23576
6	143	20358
7	144	17903
8	145	16002
9	146	14493
10	147	13244
11	148	12201
12	149	11313
13	149	10552
14	150	9909
15	151	9341
16	152	8826
17	153	8372
18	154	7971
19	155	7608
20	156	7280
21	157	6981
22	157	6711
23	158	6457
24	159	6224
25	160	6007
26	161	5805
27	161	5618
28	162	5444
29	163	5280
30	164	5127
31	164	4990
32	166	4870
33	167	4748
34	167	4630
35	168	4520
36	169	4416
37	170	4322
38	171	4230
39	172	4141
40	173	4056
41	174	3975
42	175	3901
43	176	3829
44	177	3757
45	177	3691
46	178	3627
47	180	3571
48	180	3512
49	181	3456
50	182	3400
51	183	3351
52	184	3303
53	185	3255
54	186	3208
55	187	3163
56	188	3120
57	189	3077
58	190	3036
59	191	2997
60	192	2959
61	194	2935
62	194	2898
63	195	2864
64	196	2831
65	197	2799
66	198	2768
67	199	2733
68	200	2703
69	201	2674
70	202	2646
71	203	2618
72	204	2591
73	205	2565
74	206	2541
75	206	2516
76	207	2492
77	209	2471
78	210	2448
79	210	2424
80	211	2403
81	212	2383
82	213	2362
83	214	2341
84	215	2318
85	216	2300
86	217	2277
87	218	2261
88	219	2243
89	220	2227
90	221	2210
91	222	2193
92	223	2178
93	224	2164
94	225	2149
95	226	2136
96	227	2121
97	228	2107
98	229	2092
99	230	2077
100	231	2063
101	232	2045
102	233	2032
103	234	2017
104	235	2004
105	235	1990
106	236	1976
107	237	1963
108	238	1953
109	240	1942
110	241	1930
111	241	1917
112	242	1903
113	243	1890
114	243	1877
115	244	1863
116	245	1851
117	246	1839
118	246	1826
119	247	1814
120	248	1803
121	248	1791
122	249	1777
123	250	1766
124	250	1755
125	251	1744
126	252	1734
127	252	1721
128	253	1713
129	255	1706
130	255	1697
131	256	1687
132	257	1678
133	258	1668
134	258	1658
135	259	1649
136	260	1640
137	260	1629
138	261	1620
139	262	1612
140	263	1603
141	263	1594
142	264	1585
143	265	1577
144	266	1568
145	266	1560
146	267	1551
147	268	1544
148	269	1539
149	270	1532
150	271	1524
151	271	1516
152	272	1509
153	273	1501
154	274	1494
155	274	1486
156	275	1479
157	276	1471
158	276	1464
159	277	1457
160	278	1450
161	279	1443
162	279	1436
163	280	1430
164	281	1423
165	282	1417
166	282	1410
167	283	1406
168	285	1401
169	285	1396
170	286	1390
171	287	1383
172	288	1377
173	288	1371
174	289	1365
175	290	1359
176	291	1353
177	291	1347
178	292	1342
179	293	1336
180	293	1328
181	294	1323
182	295	1317
183	295	1311
184	296	1306
185	297	1301
186	298	1296
187	299	1293
188	300	1288
189	301	1283
190	301	1278
191	302	1273
192	303	1268
193	304	1263
194	304	1258
195	305	1253
196	306	1248
197	306	1243
198	307	1238
199	308	1233
200	309	1228
201	310	1224
202	310	1220
203	311	1215
204	312	1210
205	312	1206
206	314	1203
207	314	1198
208	315	1194
209	316	1189
210	316	1185
211	317	1180
212	318	1176
213	318	1171
214	319	1167
215	320	1162
216	321	1158
217	321	1154
218	322	1149
219	323	1145
220	323	1141
221	324	1137
222	325	1133
223	326	1130
224	327	1127
225	328	1124
226	329	1120
227	329	1116
228	330	1112
229	331	1109
230	332	1105
231	332	1101
232	333	1097
233	334	1094
234	334	1090
235	335	1086
236	336	1082
237	337	1079
238	337	1076
239	338	1072
240	339	1069
241	340	1065
242	341	1063
243	342	1061
244	343	1058
245	344	1056
246	345	1053
247	346	1050
248	347	1047
249	348	1044
250	349	1041
251	349	1038
252	350	1035
253	351	1032
254	352	1029
255	353	1026
256	354	1024
257	355	1022
258	356	1020
259	357	1018
260	358	1016
261	359	1013
262	361	1012
263	362	1010
264	363	1007
265	364	1005
266	365	1003
267	366	1000
268	367	998
269	368	995
270	368	992
271	369	989
272	371	988
